x,y
0.23648485844824818,0.5072791795697328
0.26450681257362385,0.38782282333585294
0.4171410120431962,0.5981383158794485
0.744950759511388,0.824602822830565
0.7798215107574824,0.6202617631237526
0.9305836949009394,0.7696675650287593
0.9382045382050475,0.7065180281994873
0.9962135295618835,1.081194983193121
1.1656588308337634,0.9489562145764933
1.3025743858089955,1.028075570121454
1.358028626435459,1.0074942509796518
1.5087790178974414,1.3283015302492367
1.5950569725099073,1.3253758406431628
1.6135291917639993,1.2883723244394614
1.7128027759399356,1.3851433113468985
1.7198555386947156,1.1104489621599392
1.860707947891953,1.2115853061433586
1.9500028564686123,1.2144923948422794
1.970178275012855,1.2697978414236435
1.972466894477124,1.481396799552749
2.1816547447148893,1.492705683969877
2.2154329109403523,1.5440331193075674
2.2198727555385425,1.3327389162567764
2.2613180965859847,1.5420515564082038
2.323138754400963,1.6062887311112075
2.4720517203422387,1.7337886185303533
2.4900633055977863,1.6286318065974386
2.8337611429253853,1.9706868941089246
2.8830414945109473,1.6511706317393424
2.912967221012368,1.6984370508461166
2.9506836343069285,2.003587326826559
2.9776739449867664,1.7637890983167335
3.0002844868140977,1.7246749605015137
3.0290395289936867,2.1049819409974724
3.27820618622689,2.1154646557339367
3.3054346113496935,2.2113878603277826
3.324534072371205,2.2040323671339976
3.5267863546439706,2.0223008449010202
3.642933099468293,2.3918959154660597
3.7994632511916535,2.2607175249770393
3.9930515188237248,2.3752673169024527
4.189864257638635,2.448605614260752
4.3074367575012005,2.6042893080650624
4.396674108542955,2.6022709631703984
4.418940139989949,2.615284149265914
4.519761478622106,2.49549005635056
4.559100233053046,2.721788454556965
4.575549507400444,2.6022070191896156
4.593428691389974,2.591474778102832
4.92692638887042,2.800543814772393
5.200990611135635,2.8616087894820392
5.257281059332844,3.1699672155175582
5.28985879445872,3.184208162504849
5.40190249473527,3.0999073760185545
5.4258922967677226,2.9495094719390655
5.452803708182238,3.1320993661814787
5.455406272367997,3.2218024456752667
5.5272606449989405,3.165310262630418
5.546796156631865,3.197646761630562
5.572707074033254,3.3283616026932403
5.620032077373164,3.0423402638649097
5.63425337020342,3.151180248752492
5.660064874927944,3.142224546725421
5.666335571470867,3.4098495939918494
5.856019617335848,3.1744294637541683
6.030499924423212,3.495106986043095
6.10680173119789,3.2731801926486144
6.123759926890734,3.2925682725308314
6.184084771705631,3.441575580359458
6.19773789350028,3.6118062870033354
6.702552032104412,3.575803392408825
6.912269081676917,4.042471355530379
7.000610022473629,3.713555413869128
7.511436400934554,4.04553893285252
7.598331098059332,4.1101172920698925
7.8597196730830365,4.184141723534542
7.895070054423376,4.208236366696521
7.922407634462799,4.456408535225163
8.134975160243103,4.562657703281079
8.227780100872362,4.540964110505691
8.26352134514418,4.486477541269901
8.393348936259521,4.724451114979702
8.437194257336452,4.482967847652758
8.590622715347134,4.589032417779494
8.60417188724484,4.642044065362058
8.684154183441313,4.919095631619268
8.692690118283014,4.550252248462928
8.715599679450307,4.740273219782002
8.797785120560551,4.828835025194398
9.220936169612663,5.148597244693846
9.237794116644167,5.0286758325603875
9.263757517409216,5.204070990788998
9.503879513384838,5.133189692137552
9.56880353925754,4.986872867646433
9.616686050611587,5.290635581109924
9.74813678803003,5.291971363839037
9.854273278887229,5.4500897621239215
9.920648655993048,5.278284906803987
9.92448213677243,5.1812405556838685
9.927912976218543,5.217552084099445
